,time,Ord_total_fees,Total_Inscriptions,Ordinals_Inscription,weight,daily_avg_size,Ave_tra_fee_rate,hour_market_TotalV,hour_market_TotalT,cnt,Ord_Size_Usage,Ord_vSize_Usage,Ord_hour_fees,hash_rate,num_addresses,tx_count,price,ma_50,ma_100,ma_200
41,2023-03-28,146.0052698599999,634211.0,749.7083333333334,22295523.416666668,1827795.2028150656,14.73270645229512,13688.139812224626,46.66666666666666,69.83333333333333,2764126.7916666665,745379.125,0.0469357108333332,354.2102414496981,28147.375,13178.375,27058.81996527777,24090.860100000027,21864.70795451388,20458.260861846236
42,2023-03-29,147.70183326,644072.0,410.875,24460441.916666668,1910057.9282638887,11.279025146530486,13890.754416371245,50.29166666666666,77.625,4944209.333333333,1267100.4166666667,0.0706901416666666,362.0201837625387,28653.58333333333,13943.208333333334,28101.676423611098,24192.97543819447,21978.7363486111,20512.85668728741
43,2023-03-30,149.62943641,657583.0,562.9583333333334,25461103.541666668,2068580.9795653168,11.184673505829313,15055.73347769278,32.333333333333336,49.708333333333336,5739859.0,1477034.5,0.0803167979166666,409.0356025849549,30002.666666666668,13597.791666666666,28403.42388888893,24298.734604166693,22094.64892812499,20568.81815680232
44,2023-03-31,150.37217665999995,663131.0,231.16666666666663,23463481.83333333,1937895.523588419,15.366964785324214,16911.751987591004,32.666666666666664,49.41666666666666,2339021.1666666665,602553.4166666666,0.0309475104166666,385.1827748816422,29486.291666666668,12849.416666666666,28226.877847222186,24411.935986111137,22208.31199409721,20622.74815462217
45,2023-04-01,151.95204271,684418.0,886.9583333333334,23297908.20833333,1753134.2896369277,16.492447710680867,20278.76840688922,128.08333333333334,107.66666666666669,2858421.125,784594.9166666666,0.0658277520833335,353.4510263524134,30154.75,13318.583333333334,28486.37850694443,24545.833084027803,22325.278843402764,20677.738576666387
46,2023-04-02,155.09115965999993,756746.0,3013.6666666666665,24793614.291666668,1867601.0908755243,9.71438510946114,17001.20033993601,50.708333333333336,75.70833333333333,4130925.5,1291009.7916666667,0.1307965395833318,370.53429855914624,31425.95833333333,14234.25,28323.44124999998,24678.052088888915,22440.087753472213,20730.833734120093
47,2023-04-03,156.36753929999992,804690.0,1997.6666666666667,21798909.291666668,1813902.2835734813,14.67001914070381,16039.958915154004,42.16666666666666,66.16666666666667,2196085.7916666665,710006.5416666666,0.0531824849999996,359.5779451765152,28096.0,13869.583333333334,28015.2159375,24800.830485416693,22551.78581458332,20781.070852764093
48,2023-04-04,158.6300517899999,881064.0,3182.25,26956913.791666668,1757454.9409782554,12.806911036881097,14057.146721728504,50.54166666666666,74.375,3586315.1666666665,1157688.0416666667,0.0942713537500005,378.30421576493217,32987.5,17547.083333333332,28099.975486111103,24928.787197916696,22664.46242152776,20831.20033655414
49,2023-04-05,160.74356874999987,912622.0,1314.9166666666667,22966380.666666668,1820536.4077507264,15.559307489587905,20081.17708415211,60.375,83.875,3662818.1666666665,1023861.2083333334,0.0880632066666669,367.6381864977933,26681.45833333333,14453.541666666666,28376.66229166668,25058.03827291669,22779.62411458332,20882.530009718168
50,2023-04-06,162.7101587699998,938709.0,1086.9583333333333,26624570.666666668,1923354.368756106,13.656884106770702,8286.500504833637,39.79166666666666,62.04166666666666,5212031.625,1388762.25,0.0819412508333333,392.1526856524717,29128.08333333333,14750.791666666666,28033.763923611124,25164.84777708336,22891.77195729165,20930.84915778501
51,2023-04-07,164.93887234999974,976130.0,1559.2083333333333,23628378.58333333,1866321.171250912,11.990257076453288,13230.680247446964,99.20833333333331,119.45833333333331,3959007.0833333335,1113019.9166666667,0.0928630658333332,360.21954141836204,27016.08333333333,14792.958333333334,27967.469756944432,25231.745288194463,23004.906321874983,20978.07479939011
52,2023-04-08,168.5603493299997,1012914.0,1532.6666666666667,24461503.041666668,2056812.4138663104,7.841198277249561,12888.467323773242,54.25,83.66666666666667,7314423.083333333,1953159.3333333333,0.1508948741666666,375.8118698833455,24225.70833333333,13271.041666666666,28025.325763888864,25311.80718263891,23119.16834236109,21025.056472486765
53,2023-04-09,169.97798316999973,1050672.0,1573.25,24294367.95833333,2183523.698408459,8.464902515920828,12371.443815608984,69.75,105.375,4647363.0,1278509.6666666667,0.0590680766666668,399.4270470611996,30133.25,11600.166666666666,28048.03434027778,25380.29766875002,23234.074091666647,21071.56625969068
54,2023-04-10,170.49961623999974,1063563.0,537.125,20300939.666666668,1736026.7494892585,12.401046848911172,11661.300811886547,50.208333333333336,77.04166666666667,1179726.4166666667,338115.8333333333,0.0217347112499999,316.10111309755433,27622.625,12067.708333333334,28617.566701388867,25459.588356944467,23354.46895416665,21121.210999438696
55,2023-04-11,171.1388789499998,1079859.0,679.0,25626678.08333333,1629423.532559208,13.720891131986296,17044.49940248511,67.95833333333333,96.91666666666669,1356417.2916666667,393259.0416666667,0.0266359462499998,364.8153516757882,36103.125,16041.75,30123.14722222221,25568.782602777803,23490.04169027776,21180.047183901333
56,2023-04-12,172.58770277999983,1095410.0,647.9583333333334,26460475.375,1847753.776988574,8.960806543523878,8496.829687628633,43.625,68.70833333333333,4494505.5,1172627.125,0.0603676595833332,415.4157930731828,33730.416666666664,14087.583333333334,30032.345138888893,25675.30597430558,23623.392126041646,21237.529638154498
57,2023-04-13,173.38487312999985,1103635.0,342.7083333333333,23628548.791666668,1792123.0135307095,11.946456688536792,6062.734318207767,48.208333333333336,71.125,2555355.7916666665,664895.625,0.03321543125,347.85792485725136,31732.83333333333,13835.083333333334,30246.01190972224,25799.521618055584,23758.871741319424,21295.648878616223
58,2023-04-14,173.86734913999987,1110943.0,304.5,23298774.5,1886222.7915676888,13.274830231557646,7496.989094453565,43.833333333333336,64.75,2346651.0,610347.125,0.0201031670833333,370.2112914632748,30851.20833333333,13164.958333333334,30614.204166666663,25928.891811111134,23896.629836805536,21355.38320738578
59,2023-04-15,174.76658171999983,1120392.0,393.7083333333333,26292505.0,1775677.407985282,8.785367748943607,12344.139135563642,36.708333333333336,58.958333333333336,3192191.0416666665,827770.2083333334,0.0374680241666665,416.2934524253583,35050.0,11507.708333333334,30409.50309027774,26063.96485833336,24032.27883194443,21413.05276078
60,2023-04-16,175.3946373899998,1127509.0,296.5416666666667,20634694.58333333,1849109.309414683,8.413876300464706,7189.80267414658,29.0,49.66666666666666,2722904.583333333,703704.8333333334,0.0261689862499999,330.309369637335,27145.666666666668,9677.833333333334,30346.93624999996,26209.29843055558,24167.40132673609,21469.596327167463
